Tarih,Tıklamalar,Gösterimler,TO,Pozisyon
2026-08-05,1,7,14.29%,6
2026-08-06,2,15,13.33%,5
2026-08-07,0,12,0%,5.8
2026-08-08,0,23,0%,14.5
2026-08-09,1,25,4%,18.9
2026-08-10,5,54,9.26%,7.3
2026-08-11,5,45,11.11%,10.4
2026-08-12,1,42,2.38%,13.1
