Ülke,Tıklamalar,Gösterimler,TO,Pozisyon
Türkiye,14,211,6.64%,10.88
Amerika Birleşik Devletleri,1,5,20%,5
Hindistan,0,1,0%,1
İngiltere,0,1,0%,2
Birleşik Arap Emirlikleri,0,1,0%,7
Almanya,0,1,0%,8
Kazakistan,0,1,0%,10
Kenya,0,1,0%,21
Filipinler,0,1,0%,37
